Student,Attempt,Math Score,Science Score,English Score
Student_1000,1,64.0,48.0,40.0
Student_1000,2,60.53426409720027,44.53426409720027,36.53426409720027
Student_1000,3,58.50693855665945,42.50693855665945,34.50693855665945
Student_1000,4,57.06852819440055,41.06852819440055,33.06852819440055
Student_1000,5,55.9528104378295,39.9528104378295,31.9528104378295
Student_1000,6,55.04120265385973,39.04120265385973,31.041202653859727
Student_1000,7,54.27044925472343,38.27044925472343,30.270449254723435
Student_1000,8,53.60279229160082,37.60279229160082,29.60279229160082
Student_1000,9,53.0138771133189,37.0138771133189,29.0138771133189
Student_1000,10,52.48707453502977,36.48707453502977,28.48707453502977
